start,stop,bins,alpha,added_cells,min_distance,mean_distance,max_distance
10001,50000,1000,0.25,27862,0.00025,0.001993251828812245,0.04805205510693585
10001,50000,1000,0.5,27862,0.0005,0.0031459419799303883,0.0850411665018772
10001,50000,1000,1.0,27862,0.001,0.004913979251282967,0.13971399357258385
10001,50000,1000,2.0,27862,0.001,0.007269613019808983,0.18
10001,50000,1000,4.0,27862,0.001,0.01031690919816722,0.36
50001,100000,1000,0.25,15936,0.00025,0.001303244639203663,0.08100964448755468
50001,100000,1000,0.5,15936,0.0005,0.0019495473146032426,0.081038571063414
50001,100000,1000,1.0,15936,0.001,0.002897791106881093,0.08115417426109392
50001,100000,1000,2.0,15936,0.001,0.004200140670475972,0.1
50001,100000,1000,4.0,15936,0.001,0.006002020874859969,0.156
100001,200000,1000,0.25,20041,0.00025,0.0010499199779100904,0.07502041388848771
100001,200000,1000,0.5,20041,0.0005,0.0016481471509992766,0.07508162225205313
100001,200000,1000,1.0,20041,0.001,0.0025809551068485415,0.07532595834106594
100001,200000,1000,2.0,20041,0.001,0.003908707955594936,0.10239628899525607
100001,200000,1000,4.0,20041,0.001,0.005775373165578847,0.188
200001,500000,1000,0.25,29861,0.00025,0.0016147920317390397,0.05869891395928889
200001,500000,1000,0.5,29861,0.0005,0.002692959597685785,0.09774456506629921
200001,500000,1000,1.0,29861,0.001,0.00439457545478345,0.1380326048439281
200001,500000,1000,2.0,29861,0.001,0.0067404077999006,0.194
200001,500000,1000,4.0,29861,0.001,0.009939253351936938,0.388
500001,1000000,1000,0.25,24811,0.00025,0.0013430782800991034,0.02990087791353291
500001,1000000,1000,0.5,24811,0.0005,0.0022894389989910036,0.0555
500001,1000000,1000,1.0,24811,0.001,0.0037928679820524074,0.111
500001,1000000,1000,2.0,24811,0.001,0.005822958323576053,0.22043593173527767
500001,1000000,1000,4.0,24811,0.001,0.008531098061357066,0.44
1000001,2000000,1000,0.25,29347,0.00025,0.0013482350417295416,0.05217518567288477
1000001,2000000,1000,0.5,29347,0.0005,0.002192887528209369,0.08000781211856753
1000001,2000000,1000,1.0,29347,0.001,0.003510156088617235,0.1554155719353759
1000001,2000000,1000,2.0,29347,0.001,0.005247170792278319,0.20843224318708464
1000001,2000000,1000,4.0,29347,0.001,0.007250837387683072,0.25807169546465186
2000001,5000000,1000,0.25,41977,0.00025,0.001003686384189735,0.06756894626971773
2000001,5000000,1000,0.5,41977,0.0005,0.001532690285927273,0.06924774364555138
2000001,5000000,1000,1.0,41977,0.001,0.0023323647881374012,0.07720103626247513
2000001,5000000,1000,2.0,41977,0.001,0.00344107596758538,0.11800000000000001
2000001,5000000,1000,4.0,41977,0.001,0.004975355601547095,0.23600000000000002
5000001,10000000,1000,0.25,37271,0.00025,0.002093110232105608,0.12012597554234472
5000001,10000000,1000,0.5,37271,0.0005,0.0033316080236982775,0.12050311199301036
5000001,10000000,1000,1.0,37271,0.001,0.005242519119431488,0.1631349134918703
5000001,10000000,1000,2.0,37271,0.001,0.007684826224165534,0.258
5000001,10000000,1000,4.0,37271,0.001,0.010772472224054955,0.516
